ID,a1,a2,a3,a4,a5,a6,d1,d2,d3,d4,d5,d6,oxd
ANOTEF01.Fe(ii).pdb,N,NE,NE,NE,NE,NE,2.0954973697662354,100.0,100.0,100.0,100.0,100.0,2
YAZJEP.Fe(ii).pdb,N,N,N,N,N,N,1.9378849267959595,1.9393339157104492,1.9644066095352173,1.971156120300293,1.997101068496704,2.004896640777588,2
BIRSAZ.Fe(ii).pdb,O,CL,CL,CL,NE,NE,2.0553390979766846,2.2859106063842773,2.2920472621917725,2.2961795330047607,100.0,100.0,2
BIRSAZ.Fe(ii).pdb,O,O,O,O,O,O,2.0995476245880127,2.0998165607452393,2.1291191577911377,2.129119396209717,2.1654272079467773,2.1658196449279785,2
GAPSUM01.Fe(ii).pdb,N,N,N,N,NE,NE,2.113999843597412,2.113999843597412,2.21748423576355,2.21822452545166,100.0,100.0,2
DELBEE.Fe(ii).pdb,S,S,S,S,NE,NE,2.3272757530212402,2.333928346633911,2.3380610942840576,2.340923547744751,100.0,100.0,2
DUFZUA.Fe(ii).pdb,O,O,O,NE,NE,NE,2.0960471630096436,2.191559076309204,2.192556381225586,100.0,100.0,100.0,2
DUFZUA.Fe(ii).pdb,NE,NE,NE,NE,NE,NE,100.0,100.0,100.0,100.0,100.0,100.0,2
ZESNOC.Fe(ii).pdb,N,N,N,N,NE,NE,2.1500000953674316,2.1500000953674316,2.2174673080444336,2.217467784881592,100.0,100.0,2
ENUBAR02.Fe(ii).pdb,N,N,N,N,N,N,2.1638717651367188,2.164884090423584,2.173851490020752,2.1751015186309814,2.183871269226074,2.208536148071289,2
UDIFIZ.Fe(ii).pdb,C,C,C,C,C,C,2.1075439453125,2.1120383739471436,2.1126291751861572,2.1200199127197266,2.1315271854400635,2.1321940422058105,2
UDIFIZ.Fe(ii).pdb,N,N,NE,NE,NE,NE,1.948636531829834,2.0780513286590576,100.0,100.0,100.0,100.0,2
UDIFIZ.Fe(ii).pdb,N,N,F,NE,NE,NE,2.065784215927124,2.0681216716766357,2.4899988174438477,100.0,100.0,100.0,2
UDIFIZ.Fe(ii).pdb,N,N,NE,NE,NE,NE,1.9464740753173828,2.0825414657592773,100.0,100.0,100.0,100.0,2
DAGLUU01.Fe(ii).pdb,N,N,CL,CL,NE,NE,2.1102845668792725,2.1197707653045654,2.2206461429595947,2.220646381378174,100.0,100.0,2
BUYBEF.Fe(ii).pdb,N,N,N,N,NE,NE,2.1526143550872803,2.1535778045654297,2.213139057159424,2.2139785289764404,100.0,100.0,2
BUYBEF.Fe(ii).pdb,N,NE,NE,NE,NE,NE,2.16413950920105,100.0,100.0,100.0,100.0,100.0,2
EHOQOH.Fe(ii).pdb,N,N,N,N,N,N,2.1220340728759766,2.1220340728759766,2.1776533126831055,2.1776533126831055,2.2604382038116455,2.2604382038116455,2
MUCRUZ.Fe(ii).pdb,N,N,N,N,N,N,1.8944512605667114,1.8946105241775513,1.9681233167648315,1.9681240320205688,1.981249213218689,1.98190176486969,2
WEWQOH.Fe(ii).pdb,N,N,CL,CL,CL,CL,2.208299160003662,2.208299398422241,2.4453907012939453,2.4461891651153564,2.490152597427368,2.4901528358459473,2
VIFFAU16.Fe(ii).pdb,N,N,NE,NE,NE,NE,2.1072070598602295,2.1072499752044678,100.0,100.0,100.0,100.0,2
CIHDOM.Fe(ii).pdb,C,C,C,P,P,NE,1.8081804513931274,1.8117198944091797,1.819112777709961,2.2545745372772217,2.2581703662872314,100.0,2
MIFSAY.Fe(ii).pdb,N,N,N,N,N,N,1.9399492740631104,1.9402881860733032,1.9654988050460815,1.966417670249939,2.0140397548675537,2.0140397548675537,2
